competition_region,total_qualifiers,female_qualifiers,avg_grade_standard,girls_quota_activations,region_clean,access_cluster_id
ANDHRA PRADESH,253,62,10.296442687747035,6,ANDHRA PRADESH,0
ASSAM ARUNACHAL PRADESH,326,49,10.493865030674849,6,ASSAM ARUNACHAL PRADESH,0
CHHATTISGARH,271,59,10.387453874538746,6,CHHATTISGARH,0
DELHI,265,15,10.705660377358493,0,DELHI,1
GUJARATDADRA AND NAGAR HAVELIDIU AND DAMAN,252,34,10.718253968253968,1,GUJARATDADRA AND NAGAR HAVELIDIU AND DAMAN,1
JAMMU,101,21,10.811881188118813,5,JAMMU,1
JAWAHAR NAVODAYA VIDYALAYAS,296,73,10.29391891891892,6,JAWAHAR NAVODAYA VIDYALAYAS,0
JHARKHAND,251,15,10.147410358565738,3,JHARKHAND,2
KARNATAKA,268,29,10.50373134328358,3,KARNATAKA,1
KASHMIR LADAKH,107,25,10.186915887850468,4,KASHMIR LADAKH,2
KENDRIYA VIDYALAYAS,270,56,10.4,5,KENDRIYA VIDYALAYAS,0
KERALA LAKSHADEEP,275,62,10.727272727272728,5,KERALA LAKSHADEEP,0
MADHYA PRADESH,265,35,10.652830188679244,3,MADHYA PRADESH,1
MAHARASHTRA AND GOA,263,37,10.70722433460076,3,MAHARASHTRA AND GOA,1
MAHARASHTRA-MUMBAI,259,37,10.455598455598455,2,MAHARASHTRA-MUMBAI,1
MEGHALAYA,4,1,10.25,0,MEGHALAYA,2
NORTH BIHAR,252,16,10.626984126984128,3,NORTH BIHAR,1
NORTH WEST,276,31,10.807971014492754,4,NORTH WEST,1
ODISHA,287,67,10.421602787456449,6,ODISHA,0
RAJASTHAN,257,21,10.73929961089494,0,RAJASTHAN,1
SIKKIM,31,13,10.67741935483871,4,SIKKIM,1
SOUTH BIHAR,292,35,10.407534246575343,3,SOUTH BIHAR,1
TAMIL NADU PUDUCHERRY,270,40,10.64074074074074,4,TAMIL NADU PUDUCHERRY,1
TELANGANA,255,39,10.580392156862745,3,TELANGANA,1
TRIPURA,79,3,10.050632911392404,0,TRIPURA,2
UTTAR PRADESH,276,23,10.71376811594203,1,UTTAR PRADESH,1
UTTARAKHAND,276,49,10.42753623188406,6,UTTARAKHAND,0
WEST BENGAL,257,26,10.536964980544749,3,WEST BENGAL,1
