region_name,avg_state_qualification_score,pupil_teacher_ratio,science_lab_pct,internet_access_pct,gender_parity_index,literacy_proxy_ger,electricity_pct,toilets_pct,computers_pct,smart_class_pct,avg_teachers_per_school,official_state_cutoff,ag_quota_seats_allocated,expected_stem_capacity,stem_desert_score
ANDHRA PRADESH,4154.921545304939,15,61.9,93.9,1.02,79.2,99.7,99.0,87.3,44.4,6.0,24.0,6,306926.8906481836,302771.96910287865
ARUNACHAL PRADESH,3151.862464183381,13,52.9,30.5,1.1,57.0,58.0,76.1,42.6,21.2,7.0,24.0,0,127920.45523670569,124768.59277252232
ASSAM,5933.250927070457,14,28.8,45.0,1.2,56.3,86.3,91.1,67.9,11.3,6.0,24.0,6,0.0,-5933.250927070457
BIHAR,6400.101387744757,37,23.0,18.5,1.11,37.8,78.3,94.3,19.6,12.1,7.0,24.0,6,204623.97681796897,198223.8754302242
CHANDIGARH,460869.5652173913,17,97.7,99.6,1.18,109.5,100.0,100.0,100.0,93.5,45.0,24.0,1,460869.5652173913,0.0
CHHATTISGARH,4892.696281904089,19,80.2,61.3,1.17,64.1,90.7,96.4,67.3,19.4,5.0,24.0,6,272368.6364000066,267475.94011810253
DELHI,25468.437329452427,20,92.3,100.0,1.07,91.0,100.0,100.0,100.0,74.0,29.0,24.0,1,364408.16272742377,338939.72539797134
GUJARAT,4941.632790064521,29,46.7,93.9,1.01,58.7,99.9,99.0,98.0,61.3,7.0,24.0,1,264577.83505815524,259636.2022680907
HARYANA,8291.873963515754,15,76.5,67.7,1.02,77.0,99.4,99.7,96.6,46.2,11.0,24.0,2,430850.191561654,422558.31759813824
HIMACHAL PRADESH,953.66318860092,8,87.2,48.7,1.05,90.7,99.2,99.9,47.5,30.3,6.0,24.0,0,284224.63368744514,283270.9704988442
JAMMU AND KASHMIR,9137.306552518932,15,55.9,45.3,1.04,53.7,86.0,89.9,41.4,14.4,7.0,31.0,10,259657.2711127131,250519.96456019414
JHARKHAND,6475.548060708264,37,58.5,52.7,1.08,51.1,92.0,97.6,75.3,10.8,5.0,22.0,4,229663.25797177458,223187.7099110663
KARNATAKA,3822.3780463694,21,57.8,49.2,1.08,79.0,98.3,99.4,52.9,22.4,6.0,31.0,3,352750.7081446292,348928.3300982598
KERALA,18973.777105395868,16,73.7,92.1,1.03,93.0,99.8,99.9,99.4,58.0,18.0,24.0,5,359154.31332575716,340180.5362203613
MADHYA PRADESH,2414.676044468933,25,62.7,43.3,1.01,55.5,85.0,92.7,49.3,17.7,5.0,24.0,3,257053.95586993045,254639.2798254615
MAHARASHTRA,4952.095863706496,26,76.3,67.5,1.0,80.7,87.9,96.1,81.5,60.1,7.0,10.0,7,284470.5956416816,279518.4997779751
MANIPUR,1076.194575979337,12,48.4,32.3,1.02,66.1,60.7,81.9,33.5,12.0,9.0,24.0,0,119703.07524315974,118626.8806671804
MEGHALAYA,753.3730566399562,12,31.3,24.5,1.37,61.7,26.8,76.4,18.8,3.8,4.0,24.0,0,106419.6832895622,105666.31023292225
MIZORAM,761.2281146917026,10,27.3,24.9,1.13,74.5,82.1,86.3,46.6,7.4,6.0,24.0,0,92277.97484211152,91516.74672741981
ODISHA,5024.881266918451,22,77.4,82.0,1.04,70.2,95.8,99.1,59.4,27.6,5.0,24.0,6,289539.4577797683,284514.57651284983
PUNJAB,3576.1202744124944,13,74.6,74.0,1.05,85.5,99.9,99.2,98.8,77.9,10.0,24.0,2,355897.9717426473,352321.8514682348
RAJASTHAN,2774.7617324164557,16,26.7,68.3,0.96,71.1,90.3,88.9,51.6,20.0,7.0,24.0,1,277553.98074997036,274779.2190175539
SIKKIM,24720.893141945773,7,73.1,46.8,1.12,65.2,97.0,99.6,91.9,41.5,12.0,24.0,4,277605.1930594008,252884.299917455
TAMIL NADU,4597.936037600899,17,85.5,99.0,1.07,89.5,99.0,97.1,72.7,7.9,9.0,24.0,3,363332.6563117134,358734.7202741125
TELANGANA,5967.226871168505,13,44.1,39.9,1.05,83.1,92.2,91.9,77.9,26.4,8.0,24.0,3,294376.61454381153,288409.387672643
TRIPURA,16453.382084095065,14,33.5,35.3,1.11,67.2,76.1,82.5,49.3,13.8,8.0,10.0,0,140313.47762013137,123860.0955360363
UTTAR PRADESH,1481.8473697209188,33,49.8,38.6,0.96,58.5,84.7,96.3,40.2,14.5,6.0,24.0,2,279043.25396967796,277561.40659995703
UTTARAKHAND,12593.6765553634,14,69.8,68.5,1.07,83.2,90.2,92.5,86.6,24.2,6.0,24.0,8,259810.94945955815,247217.27290419475
WEST BENGAL,3278.514024163074,28,37.7,17.5,1.16,83.4,97.0,99.9,22.3,4.7,6.0,24.0,3,237609.71465742443,234331.20063326135
